book_BookID,book_Title,book_PublisherName,book_authors_AuthorName,publisher_PublisherAddress,publisher_PublisherPhone,book_copies_BookID,book_copies_No_Of_Copies,book_loans_CardNo,book_loans_DateOut,book_loans_DueDate,library_branch_BranchID,library_branch_BranchAddress,library_branch_BranchName,borrower_CardNo,borrower_BorrowerName,borrower_BorrowerAddress,borrower_BorrowerPhone
1,The Name of the Wind,DAW Books,Patrick Rothfuss,"375 Hudson Street, New York, NY 10014",212-366-2000,1,5,100,1/1/18,2/2/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,100,Joe Smith,"1321 4th Street, New York, NY 10014",212-312-1234
1,The Name of the Wind,DAW Books,Patrick Rothfuss,"375 Hudson Street, New York, NY 10014",212-366-2000,1,5,106,1/7/18,2/7/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,106,Haley Jackson,"231 52nd Avenue New York, NY 10014",212-419-9935
1,The Name of the Wind,DAW Books,Patrick Rothfuss,"375 Hudson Street, New York, NY 10014",212-366-2000,1,5,102,1/12/18,2/12/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,102,Tom Li,"981 Main Street, Ann Arbor, MI 48104",734-902-7455
1,The Name of the Wind,DAW Books,Patrick Rothfuss,"375 Hudson Street, New York, NY 10014",212-366-2000,1,5,103,2/2/17,3/2/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,103,Angela Thompson,"2212 Green Avenue, Ann Arbor, MI 48104",313-591-2122
1,The Name of the Wind,DAW Books,Patrick Rothfuss,"375 Hudson Street, New York, NY 10014",212-366-2000,1,5,102,1/12/18,2/12/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,102,Tom Li,"981 Main Street, Ann Arbor, MI 48104",734-902-7455
1,The Name of the Wind,DAW Books,Patrick Rothfuss,"375 Hudson Street, New York, NY 10014",212-366-2000,1,5,103,1/22/18,2/22/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,103,Angela Thompson,"2212 Green Avenue, Ann Arbor, MI 48104",313-591-2122
2,It,Viking,Stephen King,"375 Hudson Street, New York, NY 10014",212-366-2000,2,5,100,1/1/18,2/2/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,100,Joe Smith,"1321 4th Street, New York, NY 10014",212-312-1234
2,It,Viking,Stephen King,"375 Hudson Street, New York, NY 10014",212-366-2000,2,5,100,1/7/18,2/7/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,100,Joe Smith,"1321 4th Street, New York, NY 10014",212-312-1234
3,The Green Mile,Signet Books,Stephen King,"375 Hudson Street, New York, NY 10014",212-366-2000,3,5,100,1/1/18,2/2/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,100,Joe Smith,"1321 4th Street, New York, NY 10014",212-312-1234
3,The Green Mile,Signet Books,Stephen King,"375 Hudson Street, New York, NY 10014",212-366-2000,3,5,100,1/7/18,2/7/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,100,Joe Smith,"1321 4th Street, New York, NY 10014",212-312-1234
3,The Green Mile,Signet Books,Stephen King,"375 Hudson Street, New York, NY 10014",212-366-2000,3,5,107,1/3/18,2/3/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,107,Michael Horford,"653 Glen Avenue, Ann Arbor, MI 48104",734-998-1513
3,The Green Mile,Signet Books,Stephen King,"375 Hudson Street, New York, NY 10014",212-366-2000,3,5,107,1/13/18,2/13/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,107,Michael Horford,"653 Glen Avenue, Ann Arbor, MI 48104",734-998-1513
4,Dune,Chilton Books,Frank Herbert,Not Available,Not Available,4,5,100,1/1/18,2/2/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,100,Joe Smith,"1321 4th Street, New York, NY 10014",212-312-1234
4,Dune,Chilton Books,Frank Herbert,Not Available,Not Available,4,5,103,1/9/18,2/9/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,103,Angela Thompson,"2212 Green Avenue, Ann Arbor, MI 48104",313-591-2122
4,Dune,Chilton Books,Frank Herbert,Not Available,Not Available,4,5,103,1/1/18,2/2/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,103,Angela Thompson,"2212 Green Avenue, Ann Arbor, MI 48104",313-591-2122
4,Dune,Chilton Books,Frank Herbert,Not Available,Not Available,4,5,103,1/19/18,2/19/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,103,Angela Thompson,"2212 Green Avenue, Ann Arbor, MI 48104",313-591-2122
5,The Hobbit,George Allen & Unwin,J.R.R. Tolkien,"83 Alexander Ln, Crows Nest NSW 2065, Australia",+61-2-8425-0100,5,5,102,1/3/18,2/3/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,102,Tom Li,"981 Main Street, Ann Arbor, MI 48104",734-902-7455
5,The Hobbit,George Allen & Unwin,J.R.R. Tolkien,"83 Alexander Ln, Crows Nest NSW 2065, Australia",+61-2-8425-0100,5,5,105,12/12/17,1/12/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,105,Tom Haverford,"23 75th Street, New York, NY 10014",212-631-3418
6,Eragon,Alfred A. Knopf,Christopher Paolini,"The Knopf Doubleday Group Domestic Rights, 1745 Broadway, New York, NY 10019",212-940-7390,6,5,102,1/3/18,2/3/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,102,Tom Li,"981 Main Street, Ann Arbor, MI 48104",734-902-7455
6,Eragon,Alfred A. Knopf,Patrick Rothfuss,"The Knopf Doubleday Group Domestic Rights, 1745 Broadway, New York, NY 10019",212-940-7390,6,5,102,1/3/18,2/3/18,1,"32 Corner Road, New York, NY 10012",Sharpstown,102,Tom Li,"981 Main Street, Ann Arbor, MI 48104",734-902-7455
